Title,score,budget,gross,Profitability,Marketing Amount,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded,success
The Beyond,6.8,0.001123596,4.35e-05,0.0569867,0.000749064,0.001123596,0.000512821,0.001123596,0.001685393,0.001123596,437356800,10,378,0
Ghost Story,6.3,0.064366879,0.0082086,0.057251649,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,377481600,6,510,0
My Bloody Valentine,6.3,0.036025728,0.001992111,0.054502494,0.024017152,0.036025728,0.016442512,0.036025728,0.054038592,0.036025728,350697600,10,2085,0
The Funhouse,5.9,0.036025728,0.002769995,0.055302567,0.024017152,0.036025728,0.016442512,0.036025728,0.054038592,0.036025728,353289600,10,738,0
One from the Heart,6.5,0.073033708,0.000223653,0.047924368,0.034082397,0.105493134,0.016666667,0.073033708,0.073033708,0.073033708,382233600,6,851,0
The French Lieutenant's Woman,7.0,0.064366879,0.009444237,0.058522534,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,372038400,6,1841,0
The Great Muppet Caper,7.2,0.128394351,0.010960152,0.051847771,0.128394351,0.128394351,0.117200998,0.128394351,0.128394351,0.128394351,362361600,1,1239,0
True Confessions,6.3,0.028089888,0.00451323,0.058116078,0.014981273,0.034332085,0.012820513,0.028089888,0.042134831,0.028089888,370224000,5,2241,0
Looker,6.1,0.02247191,0.013673197,0.068259817,0.010486891,0.032459426,0.005128205,0.02247191,0.02247191,0.02247191,373248000,6,50,1
Nighthawks,6.4,0.014044944,0.006991092,0.062470802,0.014044944,0.014044944,0.012820513,0.014044944,0.014044944,0.014044944,355708800,0,2539,0
Nice Dreams,6.2,0.063505062,0.012995013,0.06228543,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,360547200,4,409,0
Sharky's Machine,6.3,0.163158987,0.012506857,0.048967871,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,377481600,0,343,0
Neighbors,5.6,0.023876404,0.010507067,0.064822751,0.015917603,0.029182272,0.005448718,0.023876404,0.023876404,0.023876404,377481600,4,1278,0
Puberty Blues,5.9,0.063505062,8.32e-05,0.04900533,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,376790400,4,1984,0
Eye of the Needle,7.1,0.06752809,0.006175663,0.054754189,0.031513109,0.082534332,0.015410256,0.06752809,0.126615169,0.06752809,364780800,14,679,0
